carat,cut,color,clarity,depth,table,price,volume
0,5,6,2,61,55,326,18
0,4,6,3,59,61,326,18
0,2,6,5,56,65,327,32
0,4,2,4,62,58,334,32
0,2,1,2,63,58,335,32
0,3,1,6,62,57,336,18
0,3,2,7,62,57,336,18
0,3,3,3,61,55,337,32
0,1,6,4,65,61,337,18
0,3,3,5,59,61,338,32
0,2,1,3,64,55,339,32
0,5,1,5,62,56,340,18
0,4,5,3,60,61,342,18
0,5,1,2,62,54,344,32
0,4,6,2,60,62,345,18
0,4,6,1,60,58,345,32
0,5,2,2,62,54,348,32
0,2,1,3,63,54,351,32
0,2,1,3,63,56,351,32
0,3,1,3,62,59,351,32
0,2,2,2,63,56,351,32
0,3,6,4,63,55,352,18
0,3,3,5,61,57,353,18
0,3,1,3,59,62,353,32
0,3,1,3,58,62,353,32
0,3,4,6,60,58,354,24
0,4,2,5,62,57,355,18
0,3,1,4,62,57,357,32
0,3,7,4,60,61,357,18
0,3,5,5,60,57,357,18
0,3,5,5,60,57,402,32
0,3,5,5,59,57,402,32
0,3,6,5,60,59,402,24
0,3,6,5,59,58,402,32
0,3,7,5,61,58,402,18
0,2,5,5,58,59,402,32
0,2,6,5,64,59,402,18
0,2,3,3,64,54,402,32
0,3,7,4,60,59,403,32
0,5,2,2,61,55,403,32
0,5,2,2,61,56,403,32
0,5,1,3,61,56,403,32
0,2,7,4,65,56,403,24
0,2,7,5,58,63,403,32
0,2,3,2,63,56,403,32
0,4,5,3,62,58,403,32
0,3,3,2,61,55,403,32
0,2,3,2,63,56,403,32
0,3,6,4,63,60,404,32
0,3,3,2,60,60,404,32
0,3,5,3,60,61,404,32
0,5,4,5,61,54,404,18
0,5,2,3,60,55,404,32
0,4,6,4,61,58,404,18
0,4,7,4,59,62,404,18
0,5,2,2,61,59,405,32
0,4,1,2,59,61,405,32
0,3,2,3,62,57,405,32
0,3,2,3,63,57,405,32
0,2,2,3,63,55,405,32
0,5,2,5,60,57,552,32
0,4,7,3,62,59,552,32
0,5,7,3,62,57,552,32
0,5,7,3,62,56,552,32
0,4,2,2,61,59,552,32
0,5,4,6,61,56,553,32
0,5,2,7,62,55,553,32
0,3,4,3,63,57,553,32
0,4,4,3,61,58,553,32
0,4,6,7,60,58,553,32
0,3,7,7,61,60,553,24
0,3,3,3,63,56,554,32
0,4,3,3,62,59,554,32
0,4,3,3,62,57,554,32
0,2,3,3,63,57,554,32
0,3,5,6,59,60,554,32
0,3,6,6,59,58,554,32
0,3,7,6,62,54,554,32
0,3,7,6,62,60,554,32
0,3,6,7,62,59,554,32
0,3,6,7,63,59,554,32
0,3,7,7,62,60,554,32
0,5,6,6,62,58,554,32
0,5,2,2,61,56,554,32
0,2,6,7,57,60,554,32
0,4,4,7,62,59,554,18
0,4,3,7,61,58,554,24
0,4,3,7,60,59,554,32
0,4,3,6,60,58,554,32
0,4,2,3,62,58,554,32
0,5,6,3,62,57,2757,75
0,1,6,2,55,69,2757,108
0,5,4,4,61,56,2757,75
0,3,6,4,62,57,2759,75
0,3,4,2,63,56,2759,75
0,2,6,4,57,58,2759,75
0,2,5,5,59,62,2759,75
0,1,5,2,66,62,2759,120
0,3,6,3,61,59,2760,75
0,4,3,3,61,58,2760,75
0,3,7,3,63,56,2760,75
0,4,6,3,59,54,2760,90
0,5,4,3,61,55,2760,75
0,4,4,4,61,58,2760,75
0,5,2,5,62,56,2760,75
0,5,4,3,62,55,2760,75
0,4,4,3,63,59,2760,75
0,5,2,6,62,55,2761,75
0,5,5,2,58,57,2761,108
0,5,6,6,62,55,2761,75
0,5,5,2,61,57,2761,90
0,5,6,2,62,56,2761,75
0,4,2,4,63,58,2761,108
0,3,4,3,62,59,2762,75
0,5,5,4,62,56,2762,75
0,5,5,4,62,53,2762,75
0,4,5,2,61,58,2762,75
0,5,4,4,62,54,2762,75
0,5,6,4,60,58,2762,75
0,5,5,2,59,59,2762,108
0,5,7,2,62,56,2762,75
0,5,6,3,62,54,2762,75
0,3,5,4,61,63,2762,75
0,1,5,4,64,57,2762,75
0,1,5,4,65,55,2762,75
0,4,5,4,61,60,2762,75
0,4,3,3,61,56,2763,90
0,3,7,6,59,57,2763,75
0,1,3,2,64,57,2763,108
0,1,3,2,65,60,2763,90
0,5,3,4,62,56,2763,75
0,3,7,3,63,58,2764,75
0,5,7,3,61,59,2764,75
0,3,6,4,62,60,2765,75
0,3,3,5,61,60,2765,75
0,4,6,7,60,60,2765,75
0,3,5,5,60,62,2765,75
0,4,5,5,61,59,2765,75
0,5,3,3,61,57,2765,75
0,5,4,7,61,56,2766,75
0,4,4,4,60,57,2766,75
0,4,4,4,59,56,2766,75
0,3,7,4,61,55,2767,75
0,3,5,5,60,57,2767,75
0,5,7,2,61,55,2767,75
0,2,3,6,62,64,2767,75
0,3,4,5,63,59,2768,75
0,3,7,3,60,56,2768,75
0,3,7,3,61,58,2768,75
0,5,6,3,60,57,2768,75
0,4,7,2,61,59,2768,75
0,5,2,3,61,56,2769,75
0,4,7,4,62,60,2770,75
0,4,4,4,61,59,2770,75
0,3,5,3,62,57,2770,75
